Date,Information Technology,Real Estate,Materials,Health Care,Financials,Consumer Discretionary,Communication Services,Industrials,Consumer Staples,Energy,Utilities,Days Since COVID,Unemployment Rate
1/2/2020,608.821991,1252.759972,895.3366699,652.9791527,899.6300049,646.2344913,698.4244461,874.6024055,645.3566704,345.3950005,388.0349922,0,3.5
1/3/2020,603.4719849,1262.169998,880.2999954,646.5261002,889.4499893,644.2124901,692.5475006,868.9257965,643.9266815,345.7200089,388.1600075,1,3.5
1/6/2020,611.614502,1262.639992,877.2933273,649.3807907,890.4900131,649.3666744,708.1222172,869.4452019,644.5966568,348.2099991,390.0899963,4,3.5
1/7/2020,610.3360062,1252.089996,878.3766708,645.5392113,885.3199959,649.5436764,702.8105125,870.0746498,640.453331,345.2974968,389.1174965,5,3.5
1/8/2020,615.9580002,1257.769974,883.9599838,651.9808044,894.9200134,656.6578369,714.1776581,867.3489799,644.9700012,341.9099998,388.4000053,6,3.5
1/9/2020,623.8395004,1262.739983,893.6733322,652.0037956,903.4700012,662.1618423,713.1046429,873.5860672,652.5200043,342.8825035,390.4524956,7,3.6
1/10/2020,622.5884857,1274.850006,891.1399918,652.146183,902.3700218,658.4246712,706.6794052,863.7895164,650.0633202,340.6675034,391.3974991,8,3.6
1/13/2020,630.9965057,1284.240021,907.5500031,642.8711929,911.2499886,661.5656624,720.7579575,869.9886322,656.0366592,342.260006,394.0599976,11,3.6
1/14/2020,624.3615036,1274.519997,904.1100235,646.7881355,907.9800186,662.3833351,717.0883865,871.0862961,656.016674,340.9424973,395.0825005,12,3.6
1/15/2020,627.2259827,1279.18,913.3233414,658.6136665,913.7900085,664.8176651,719.8827171,865.5793915,661.1066704,340.9449921,400.5549965,13,3.6
1/16/2020,633.1550064,1289.269997,917.2433319,663.7332153,922.9499817,671.1696854,721.2915649,872.488308,664.1633301,341.9174995,403.2175026,14,3.6
1/17/2020,636.1345062,1284.209999,925.7366714,660.8779716,931.4699936,675.6893311,724.9039268,865.6530533,667.6099892,340.2699966,406.9400024,15,3.6
1/21/2020,635.7950058,1294.05999,923.4566422,661.9124832,928.9499855,679.7700005,723.0761471,848.2566452,676.9100037,336.5825043,410.5025024,19,3.6
1/22/2020,635.0115051,1287.630035,924.5433121,659.7248192,932.789978,681.1736641,711.479908,837.2041283,677.8900185,335.845005,412.2750015,20,3.6
1/23/2020,634.7509918,1299.990005,925.9566574,656.3880882,931.5400124,682.4656525,733.2812328,847.3953209,677.953331,335.739994,415.0999985,21,3.6
1/24/2020,628.947998,1294.920036,931.409996,644.4918747,922.2200089,676.0066719,733.7670574,847.8790665,674.3733406,334.4899979,417.8100052,22,3.6
1/27/2020,617.3909988,1292.300011,908.7966766,637.1189461,904.7899857,669.3883286,718.1362305,829.7363205,673.3800125,330.0649948,417.6249924,25,3.6
